CAPAId,OpenDate,DueDate,CloseDate,Status,CAPAType,RelatedNCId,Area,Process,Severity,RootCauseCategory,Owner,EffectivenessCheck
CAPA-4362,2025-08-16,2025-09-20,2025-09-25,Closed,Corrective,NC-00597,Production,Injection Molding,Major,Raw Material,Elena Santos,Pending
CAPA-4363,2025-08-20,2025-09-10,2025-08-28,Closed,Corrective,NC-00598,Production,Injection Molding,Major,Method/Procedure,Ana Silva,Not Effective
CAPA-4364,2025-08-29,2025-10-16,2025-10-18,Closed,Corrective,NC-00601,Production,Injection Molding,Major,Mold/Tooling,Carlos Mendes,Effective
CAPA-4365,2025-09-05,2025-10-02,2025-10-14,Closed,Preventive,NC-00602,Production,  Injection Molding  ,Major,Man (Operator),Ana Silva,Pending
CAPA-4366,2025-09-10,2025-10-10,2025-10-12,Closed,Preventive,NC-00603,Production,Injection Molding,Major,Man (Operator),Patrícia Lima,Not Effective
CAPA-4367,2025-09-18,2025-11-14,2025-11-04,Closed,Corrective,NC-00604,Production,Injection Molding,Major,Mold/Tooling,Patrícia Lima,Not Effective
CAPA-4368,2025-09-25,2025-10-26,,Overdue,Corrective,NC-00605,Production,  Injection Molding  ,Major,Mold/Tooling,Elena Santos,Not Effective
CAPA-4369,2025-10-05,2025-12-01,2025-11-08,Closed,Preventive,NC-00607,Production,Injection Molding,Major,Machine/Equipment,Carlos Mendes,Pending
CAPA-4370,2025-11-11,2025-12-08,,Overdue,Corrective,NC-00611,Production,Injection Molding,Major,Machine/Equipment,Patrícia Lima,Not Effective
CAPA-4371,2025-12-13,2026-01-22,2026-01-02,Closed,Preventive,NC-00616,Production,Injection Molding,Major,Man (Operator),Sandra Reis,Pending
CAPA-4372,2025-12-18,2026-01-29,2026-01-15,Closed,Preventive,NC-00618,Production,Injection Molding,Major,Man (Operator),Sandra Reis,Pending
CAPA-4373,2025-12-31,2026-01-28,2026-01-17,Closed,Corrective,NC-00619,Production,Injection Molding,Major,Man (Operator),Carlos Mendes,Effective
CAPA-4374,2026-02-12,2026-03-30,2026-03-09,Closed,Corrective,NC-00622,Production,Injection Molding,Major,Man (Operator),Vitor Sousa,Not Effective
CAPA-4375,2026-02-15,2026-04-07,2026-03-13,Closed,Preventive,NC-00623,Production,Injection Molding,Major,Raw Material,Elena Santos,Pending
CAPA-4376,2026-02-23,2026-04-03,2026-04-17,Closed,Corrective,NC-00624,Production,Injection Molding,Major,Method/Procedure,Patrícia Lima,Effective
CAPA-4377,2026-03-10,2026-05-02,2026-03-23,Closed,Preventive,NC-00627,Production,  Injection Molding  ,Major,Mold/Tooling,Patrícia Lima,Not Effective
CAPA-4378,2026-03-30,2026-05-01,2026-04-09,Closed,Preventive,NC-00630,Production,Injection Molding,Major,Mold/Tooling,Elena Santos,Effective
CAPA-4379,2026-04-06,2026-04-30,2026-05-13,Closed,Corrective,NC-00632,Production,Injection Molding,Major,Method/Procedure,Ana Silva,Effective
CAPA-4380,2026-04-18,2026-06-14,2026-05-23,Closed,Corrective,NC-00633,Production,Injection Molding,Major,Method/Procedure,Ana Silva,Pending
CAPA-4381,2026-04-21,2026-06-19,2026-05-30,Closed,Preventive,NC-00634,Production,Injection Molding,Major,Machine/Equipment,Patrícia Lima,Not Effective
CAPA-4382,2026-05-05,2026-07-01,2026-06-15,Closed,Corrective,NC-00636,Production,Injection Molding,Major,Man (Operator),Carlos Mendes,Pending
CAPA-4383,2026-05-20,2026-07-14,2026-06-06,Closed,Corrective,NC-00639,Production,Injection Molding,Major,Mold/Tooling,Patrícia Lima,Effective
CAPA-4384,2026-06-01,2026-06-23,2026-06-22,Closed,Corrective,NC-00641,Production,Injection Molding,Major,Method/Procedure,Elena Santos,Effective
CAPA-4385,2026-06-07,2026-08-04,2026-07-10,Closed,Preventive,NC-00642,Production,Injection Molding,Major,Man (Operator),Vitor Sousa,Not Effective
CAPA-4386,2026-06-24,2026-07-15,2026-07-30,Closed,Preventive,NC-00643,Production,INJECTION MOLDING,Major,Method/Procedure,Carlos Mendes,Effective
CAPA-4387,2026-07-19,2026-09-06,,Overdue,Preventive,NC-00645,Production,Injection Molding,Major,Raw Material,Elena Santos,Effective
CAPA-4388,2026-08-08,2026-09-02,2026-10-01,Closed,Corrective,NC-00648,Production,Injection Molding,Major,Machine/Equipment,Sandra Reis,Not Effective
CAPA-4389,2026-09-06,2026-10-03,2026-10-13,Closed,Corrective,NC-00651,Production,Injection Molding,Major,Man (Operator),Patrícia Lima,Pending
CAPA-4390,2026-09-13,2026-10-03,2026-09-26,Closed,Corrective,NC-00652,Production,Injection Molding,Major,Method/Procedure,Elena Santos,Not Effective
CAPA-4391,2026-09-19,2026-10-09,2026-11-01,Closed,Corrective,NC-00654,Production,Injection Molding,Major,Method/Procedure,Sandra Reis,Not Effective
CAPA-4392,2026-09-28,2026-11-13,,Overdue,Preventive,NC-00656,Production,  Injection Molding  ,Major,Method/Procedure,Elena Santos,Effective
CAPA-4393,2026-10-13,2026-12-03,2026-11-07,Closed,Corrective,NC-00660,Production,injection molding,Major,Raw Material,Ana Silva,Pending
CAPA-4394,2026-10-18,2026-12-11,2026-12-06,Closed,Preventive,NC-00661,Production,Injection Molding,Major,Mold/Tooling,Patrícia Lima,Pending
CAPA-4395,2026-11-01,2026-12-16,,Overdue,Preventive,NC-00663,Production,Injection Molding,Major,Man (Operator),Ana Silva,Not Effective
CAPA-4396,2026-12-18,2027-01-07,,Open,Corrective,NC-00668,Production,Injection Molding,Major,Mold/Tooling,Ana Silva,Not Effective
CAPA-4397,2025-07-12,2025-08-30,2025-07-22,Closed,Preventive,NC-00669,Production,Injection Molding,Major,Mold/Tooling,Elena Santos,Pending
CAPA-4398,2025-07-19,2025-08-21,2025-08-08,Closed,Preventive,NC-00670,Production,Injection Molding,Major,Mold/Tooling,Carlos Mendes,Not Effective
CAPA-4399,2025-07-22,2025-09-07,2025-08-04,Closed,Preventive,NC-00671,Production,  Injection Molding  ,Major,Raw Material,Elena Santos,Not Effective
CAPA-4400,2025-07-24,2025-09-14,2025-08-19,Closed,Preventive,NC-00672,Production,Injection Molding,Major,Mold/Tooling,Ana Silva,Pending
CAPA-4401,2025-08-05,2025-08-30,,Overdue,Preventive,NC-00673,Production,Injection Molding,Major,Raw Material,Elena Santos,Not Effective
CAPA-4402,2025-08-10,2025-09-07,2025-09-19,Closed,Corrective,NC-00674,Production,Injection Molding,Major,Raw Material,Patrícia Lima,Effective
CAPA-4403,2025-08-17,2025-09-20,2025-08-27,Closed,Preventive,NC-00675,Production,Injection Molding,Major,Machine/Equipment,Vitor Sousa,Pending
CAPA-4404,2025-08-16,2025-09-06,2025-08-25,Closed,Preventive,NC-00676,Production,Injection Molding,Major,Method/Procedure,Carlos Mendes,Pending
CAPA-4405,2025-08-19,2025-09-15,,Overdue,Preventive,NC-00677,Production,Injection Molding,Major,Man (Operator),Carlos Mendes,Pending
CAPA-4406,2025-08-23,2025-09-15,2025-10-04,Closed,Corrective,NC-00678,Production,Injection Molding,Major,Man (Operator),Patrícia Lima,Not Effective
CAPA-4407,2025-09-14,2025-10-22,2025-10-30,Closed,Corrective,NC-00680,Production,  Injection Molding  ,Major,Man (Operator),Elena Santos,Effective
CAPA-4408,2025-09-18,2025-10-22,2025-10-31,Closed,Corrective,NC-00681,Production,injection molding,Major,Raw Material,Vitor Sousa,Pending
CAPA-4409,2025-09-21,2025-10-12,2025-11-12,Closed,Preventive,NC-00683,Production,Injection Molding,Major,Man (Operator),Patrícia Lima,Not Effective
CAPA-4410,2025-10-16,2025-11-30,2025-11-16,Closed,Preventive,NC-00685,Production,Injection Molding,Major,Machine/Equipment,Ana Silva,Effective
CAPA-4411,2025-10-27,2025-12-10,,Overdue,Preventive,NC-00688,Production,Injection Molding,Major,Mold/Tooling,Elena Santos,Not Effective
CAPA-4412,2025-10-26,2025-12-21,2025-12-18,Closed,Preventive,NC-00689,Production,Injection Molding,Major,Mold/Tooling,Carlos Mendes,Pending
CAPA-4413,2025-11-18,2025-12-28,,Overdue,Corrective,NC-00690,Production,Injection Molding,Major,Method/Procedure,Patrícia Lima,Effective
CAPA-4414,2025-12-24,2026-02-11,2026-01-10,Closed,Preventive,NC-00691,Production,Injection Molding,Major,Man (Operator),Elena Santos,Not Effective
CAPA-4415,2026-01-16,2026-03-12,,Overdue,Preventive,NC-00692,Production,Injection Molding,Major,Method/Procedure,Carlos Mendes,Not Effective
CAPA-4416,2026-01-29,2026-02-18,2026-02-19,Closed,Preventive,NC-00693,Production,Injection Molding,Major,Mold/Tooling,Elena Santos,Pending
CAPA-4417,2026-02-10,2026-03-31,2026-03-27,Closed,Preventive,NC-00694,Production,Injection Molding,Major,Mold/Tooling,Ana Silva,Pending
CAPA-4418,2026-03-06,2026-04-13,,Overdue,Preventive,NC-00696,Production,Injection Molding,Major,Man (Operator),Elena Santos,Not Effective
CAPA-4419,2026-03-15,2026-04-12,2026-03-26,Closed,Preventive,NC-00697,Production,Injection Molding,Major,Machine/Equipment,Sandra Reis,Not Effective
CAPA-4420,2026-04-02,2026-05-10,2026-05-09,Closed,Preventive,NC-00699,Production,Injection Molding,Major,Machine/Equipment,Carlos Mendes,Not Effective
CAPA-4421,2026-04-18,2026-05-15,,Overdue,Corrective,NC-00700,Production,Injection Molding,Major,Raw Material,Vitor Sousa,Effective
CAPA-4422,2026-04-24,2026-05-22,,Overdue,Corrective,NC-00701,Production,Injection Molding,Major,Man (Operator),Patrícia Lima,Not Effective
CAPA-4423,2026-05-28,2026-07-18,2026-06-12,Closed,Corrective,NC-00704,Production,Injection Molding,Major,Method/Procedure,Ana Silva,Pending
CAPA-4424,2026-06-05,2026-07-07,,Overdue,Preventive,NC-00705,Production,injection molding,Major,Mold/Tooling,Carlos Mendes,Pending
CAPA-4425,2026-08-18,2026-09-30,2026-09-08,Closed,Corrective,NC-00713,Production,Injection Molding,Major,Raw Material,Vitor Sousa,Pending
CAPA-4426,2026-09-09,2026-11-06,2026-10-26,Closed,Corrective,NC-00714,Production,Injection Molding,Major,Method/Procedure,Ana Silva,Effective
CAPA-4427,2026-09-27,2026-10-29,,Overdue,Corrective,NC-00716,Production,Injection Molding,Major,Raw Material,Sandra Reis,Not Effective
CAPA-4428,2026-10-25,2026-12-22,,Overdue,Corrective,NC-00717,Production,Injection Molding,Major,Mold/Tooling,Carlos Mendes,Pending
CAPA-4429,2026-11-04,2026-12-14,2026-12-20,Closed,Corrective,NC-00719,Production,INJECTION MOLDING,Major,Raw Material,Elena Santos,Not Effective
CAPA-4430,2026-11-13,2027-01-11,2026-12-30,Closed,Corrective,NC-00721,Production,Injection Molding,Major,Man (Operator),Patrícia Lima,Effective
CAPA-4431,2026-11-18,2027-01-15,2026-12-25,Closed,Corrective,NC-00722,Production,Injection Molding,Major,Raw Material,Vitor Sousa,Not Effective
CAPA-4432,2026-11-30,2027-01-15,2026-12-21,Closed,Preventive,NC-00723,Production,Injection Molding,Major,Method/Procedure,Patrícia Lima,Pending
CAPA-4433,2026-12-06,2027-01-16,2027-01-10,Closed,Preventive,NC-00725,Production,Injection Molding,Major,Raw Material,Patrícia Lima,Effective
CAPA-4434,2026-12-12,2027-01-13,,Open,Corrective,NC-00726,Production,Injection Molding,Major,Machine/Equipment,Elena Santos,Pending
CAPA-4435,2026-12-17,2027-02-07,2027-01-16,Closed,Corrective,NC-00728,Production,Injection Molding,Major,Machine/Equipment,Vitor Sousa,Pending
CAPA-4436,2025-07-03,2025-08-10,,Overdue,Preventive,NC-00729,Production,Injection Molding,Major,Raw Material,Elena Santos,Pending
CAPA-4437,2025-07-12,2025-08-16,2025-08-29,Closed,Preventive,NC-00731,Production,Injection Molding,Major,Machine/Equipment,Ana Silva,Pending
CAPA-4438,2025-08-06,2025-10-04,2025-09-24,Closed,Preventive,NC-00732,Production,Injection Molding,Major,Man (Operator),Carlos Mendes,Effective
CAPA-4439,2025-08-08,2025-09-10,2025-09-10,Closed,Preventive,NC-00733,Production,Injection Molding,Major,Man (Operator),Elena Santos,Pending
CAPA-4440,2025-08-19,2025-09-26,2025-10-03,Closed,Preventive,NC-00735,Production,Injection Molding,Major,Raw Material,Patrícia Lima,Effective
CAPA-4441,2025-08-31,2025-10-02,2025-10-04,Closed,Corrective,NC-00736,Production,Injection Molding,Major,Machine/Equipment,Ana Silva,Not Effective
CAPA-4442,2025-09-02,2025-09-23,2025-10-16,Closed,Preventive,NC-00737,Production,Injection Molding,Major,Machine/Equipment,Patrícia Lima,Effective
CAPA-4443,2025-09-11,2025-11-09,2025-10-15,Closed,Corrective,NC-00738,Production,  Injection Molding  ,Major,Raw Material,Sandra Reis,Effective
CAPA-4444,2025-09-13,2025-10-05,2025-11-05,Closed,Preventive,NC-00739,Production,Injection Molding,Major,Raw Material,Vitor Sousa,Pending
CAPA-4445,2025-09-24,2025-10-19,,Overdue,Preventive,NC-00741,Production,Injection Molding,Major,Method/Procedure,Ana Silva,Effective
CAPA-4446,2025-10-30,2025-12-10,,Overdue,Preventive,NC-00742,Production,injection molding,Major,Machine/Equipment,Elena Santos,Not Effective
CAPA-4447,2025-11-28,2025-12-19,2025-12-27,Closed,Corrective,NC-00744,Production,Injection Molding,Major,Machine/Equipment,Vitor Sousa,Pending
CAPA-4448,2026-01-11,2026-03-03,,Overdue,Preventive,NC-00745,Production,Injection Molding,Major,Machine/Equipment,Elena Santos,Effective
CAPA-4449,2026-02-12,2026-03-28,,Overdue,Preventive,NC-00746,Production,Injection Molding,Major,Man (Operator),Carlos Mendes,Effective
CAPA-4450,2026-02-15,2026-03-28,2026-03-01,Closed,Corrective,NC-00747,Production,  Injection Molding  ,Major,Raw Material,Ana Silva,Pending
CAPA-4451,2026-02-25,2026-04-13,2026-03-19,Closed,Preventive,NC-00748,Production,Injection Molding,Major,Method/Procedure,Ana Silva,Effective
CAPA-4452,2026-03-01,2026-04-29,2026-03-23,Closed,Corrective,NC-00750,Production,Injection Molding,Major,Man (Operator),Sandra Reis,Not Effective
CAPA-4453,2026-03-21,2026-04-12,2026-05-04,Closed,Preventive,NC-00751,Production,Injection Molding,Major,Machine/Equipment,Elena Santos,Not Effective
CAPA-4454,2026-03-21,2026-04-16,,Overdue,Corrective,NC-00752,Production,Injection Molding,Major,Raw Material,Vitor Sousa,Not Effective
CAPA-4455,2026-04-04,2026-04-28,2026-05-04,Closed,Preventive,NC-00753,Production,Injection Molding,Major,Mold/Tooling,Sandra Reis,Effective
CAPA-4456,2026-04-28,2026-05-20,2026-06-08,Closed,Preventive,NC-00755,Production,Injection Molding,Major,Machine/Equipment,Carlos Mendes,Effective
CAPA-4457,2026-05-03,2026-05-31,2026-05-11,Closed,Preventive,NC-00756,Production,Injection Molding,Major,Man (Operator),Patrícia Lima,Not Effective
CAPA-4458,2026-05-06,2026-06-06,2026-06-21,Closed,Preventive,NC-00757,Production,Injection Molding,Major,Raw Material,Vitor Sousa,Pending
CAPA-4459,2026-05-19,2026-06-09,,Overdue,Corrective,NC-00759,Production,Injection Molding,Major,Raw Material,Carlos Mendes,Effective
CAPA-4460,2026-05-26,2026-07-20,2026-06-26,Closed,Preventive,NC-00760,Production,Injection Molding,Major,Man (Operator),Patrícia Lima,Effective
CAPA-4461,2026-06-04,2026-07-17,2026-07-09,Closed,Corrective,NC-00762,Production,Injection Molding,Major,Mold/Tooling,Vitor Sousa,Not Effective
CAPA-4462,2026-06-08,2026-07-19,2026-07-16,Closed,Preventive,NC-00763,Production,Injection Molding,Major,Method/Procedure,Carlos Mendes,Effective
CAPA-4463,2026-06-23,2026-07-19,,Overdue,Corrective,NC-00764,Production,Injection Molding,Major,Man (Operator),Vitor Sousa,Effective
CAPA-4464,2026-06-25,2026-08-02,2026-07-23,Closed,Corrective,NC-00765,Production,Injection Molding,Major,Machine/Equipment,Sandra Reis,Effective
CAPA-4465,2026-06-28,2026-08-04,2026-07-06,Closed,Corrective,NC-00766,Production,Injection Molding,Major,Method/Procedure,Vitor Sousa,Not Effective
CAPA-4466,2026-07-29,2026-09-13,,Overdue,Preventive,NC-00767,Production,Injection Molding,Major,Method/Procedure,Vitor Sousa,Not Effective
CAPA-4467,2026-07-30,2026-09-12,,Overdue,Preventive,NC-00768,Production,Injection Molding,Major,Raw Material,Vitor Sousa,Effective
CAPA-4468,2026-08-03,2026-09-05,2026-08-20,Closed,Preventive,NC-00769,Production,Injection Molding,Major,Method/Procedure,Ana Silva,Pending
CAPA-4469,2026-08-16,2026-09-23,2026-09-19,Closed,Corrective,NC-00770,Production,Injection Molding,Major,Man (Operator),Ana Silva,Effective
CAPA-4470,2026-08-23,2026-09-21,2026-09-16,Closed,Corrective,NC-00771,Production,Injection Molding,Major,Method/Procedure,Elena Santos,Not Effective
CAPA-4471,2026-08-23,2026-10-08,,Overdue,Preventive,NC-00772,Production,Injection Molding,Major,Raw Material,Sandra Reis,Effective
CAPA-4472,2026-09-02,2026-09-24,2026-09-28,Closed,Preventive,NC-00773,Production,Injection Molding,Major,Man (Operator),Patrícia Lima,Pending
CAPA-4473,2026-09-08,2026-10-10,2026-09-16,Closed,Corrective,NC-00774,Production,Injection Molding,Major,Mold/Tooling,Sandra Reis,Effective
CAPA-4474,2026-10-04,2026-11-14,2026-10-20,Closed,Corrective,NC-00775,Production,Injection Molding,Major,Method/Procedure,Carlos Mendes,Not Effective
CAPA-4475,2026-10-08,2026-11-26,,Overdue,Preventive,NC-00776,Production,  Injection Molding  ,Major,Raw Material,Vitor Sousa,Effective
CAPA-4476,2026-10-11,2026-11-04,2026-11-01,Closed,Preventive,NC-00777,Production,Injection Molding,Major,Machine/Equipment,Ana Silva,Pending
CAPA-4477,2026-10-31,2026-12-20,2026-12-11,Closed,Corrective,NC-00778,Production,Injection Molding,Major,Man (Operator),Carlos Mendes,Effective
CAPA-4478,2026-11-16,2026-12-20,2027-01-02,Closed,Preventive,NC-00779,Production,Injection Molding,Major,Machine/Equipment,Carlos Mendes,Effective
CAPA-4479,2026-11-22,2026-12-25,2026-12-29,Closed,Corrective,NC-00780,Production,injection molding,Major,Man (Operator),Patrícia Lima,Pending
CAPA-4480,2026-12-04,2027-01-05,2027-01-02,Closed,Corrective,NC-00781,Production,Injection Molding,Major,Method/Procedure,Vitor Sousa,Not Effective
CAPA-4481,2026-12-29,2027-02-06,2027-02-03,Closed,Preventive,NC-00784,Production,Injection Molding,Major,Method/Procedure,Ana Silva,Effective
CAPA-4482,2025-11-09,2025-11-30,2025-12-18,Closed,Preventive,NC-00785,Production,  Injection Molding  ,Major,Method/Procedure,Ana Silva,Effective
CAPA-4483,2025-07-10,2025-08-21,,Overdue,Preventive,NC-00786,Production,Screen Printing,Major,Method/Procedure,Elena Santos,Effective
CAPA-4484,2025-07-14,2025-08-06,2025-08-08,Closed,Corrective,NC-00787,Production,Screen Printing,Major,Method/Procedure,Sandra Reis,Effective
CAPA-4485,2025-07-28,2025-09-14,,Overdue,Corrective,NC-00788,Production,Screen Printing,Major,Method/Procedure,Carlos Mendes,Pending
CAPA-4486,2025-09-15,2025-10-18,2025-10-13,Closed,Corrective,NC-00789,Production,Screen Printing,Major,Machine/Equipment,Carlos Mendes,Effective
CAPA-4487,2025-11-09,2025-12-10,2025-12-13,Closed,Preventive,NC-00795,Production,Screen Printing,Major,Raw Material,Elena Santos,Pending
CAPA-4488,2025-11-14,2025-12-11,2025-12-04,Closed,Corrective,NC-00796,Production,Screen Printing,Major,Man (Operator),Sandra Reis,Pending
CAPA-4489,2025-11-23,2026-01-16,2026-01-15,Closed,Preventive,NC-00797,Production,Screen Printing,Major,Machine/Equipment,Vitor Sousa,Pending
CAPA-4490,2026-01-19,2026-03-11,,Overdue,Corrective,NC-00799,Production,Screen Printing,Major,Man (Operator),Ana Silva,Not Effective
CAPA-4491,2026-03-06,2026-04-24,2026-04-22,Closed,Corrective,NC-00802,Production,screen printing,Major,Method/Procedure,Elena Santos,Not Effective
CAPA-4492,2026-03-07,2026-04-28,2026-03-31,Closed,Preventive,NC-00803,Production,Screen Printing,Major,Man (Operator),Carlos Mendes,Pending
CAPA-4493,2026-03-06,2026-04-01,2026-04-12,Closed,Corrective,NC-00804,Production,Screen Printing,Major,Man (Operator),Vitor Sousa,Not Effective
CAPA-4494,2026-03-24,2026-04-20,2026-04-24,Closed,Corrective,NC-00805,Production,Screen Printing,Major,Method/Procedure,Elena Santos,Pending
CAPA-4495,2026-04-08,2026-05-03,2026-05-25,Closed,Preventive,NC-00806,Production,Screen Printing,Major,Raw Material,Elena Santos,Pending
CAPA-4496,2026-04-25,2026-06-22,,Overdue,Corrective,NC-00808,Production,Screen Printing,Major,Mold/Tooling,Carlos Mendes,Effective
CAPA-4497,2026-04-30,2026-06-01,,Overdue,Preventive,NC-00809,Production,Screen Printing,Major,Raw Material,Sandra Reis,Not Effective
CAPA-4498,2026-05-16,2026-07-02,2026-05-28,Closed,Preventive,NC-00810,Production,SCREEN PRINTING,Major,Machine/Equipment,Ana Silva,Pending
CAPA-4499,2026-05-31,2026-07-29,,Overdue,Corrective,NC-00811,Production,Screen Printing,Major,Mold/Tooling,Carlos Mendes,Pending
CAPA-4500,2026-06-04,2026-07-13,2026-07-19,Closed,Corrective,NC-00812,Production,Screen Printing,Major,Method/Procedure,Carlos Mendes,Effective
CAPA-4501,2026-06-25,2026-08-15,2026-07-07,Closed,Preventive,NC-00813,Production,Screen Printing,Major,Man (Operator),Patrícia Lima,Not Effective
CAPA-4502,2026-06-25,2026-08-03,2026-08-07,Closed,Preventive,NC-00814,Production,Screen Printing,Major,Machine/Equipment,Carlos Mendes,Pending
CAPA-4503,2026-07-11,2026-08-27,2026-08-19,Closed,Preventive,NC-00815,Production,Screen Printing,Major,Raw Material,Carlos Mendes,Not Effective
CAPA-4504,2026-07-12,2026-08-21,,Overdue,Preventive,NC-00817,Production,Screen Printing,Major,Raw Material,Elena Santos,Not Effective
CAPA-4505,2026-08-30,2026-09-21,2026-10-23,Closed,Corrective,NC-00818,Production,Screen Printing,Major,Raw Material,Sandra Reis,Pending
CAPA-4506,2026-09-03,2026-11-01,,Overdue,Preventive,NC-00819,Production,Screen Printing,Major,Raw Material,Ana Silva,Not Effective
CAPA-4507,2026-09-24,2026-10-21,2026-10-03,Closed,Corrective,NC-00820,Production,Screen Printing,Major,Mold/Tooling,Patrícia Lima,Pending
CAPA-4508,2026-10-11,2026-11-10,2026-11-22,Closed,Preventive,NC-00822,Production,Screen Printing,Major,Method/Procedure,Patrícia Lima,Pending
CAPA-4509,2026-10-21,2026-11-14,,Overdue,Corrective,NC-00823,Production,Screen Printing,Major,Man (Operator),Vitor Sousa,Not Effective
CAPA-4510,2026-11-03,2026-11-26,,Overdue,Corrective,NC-00824,Production,Screen Printing,Major,Mold/Tooling,Carlos Mendes,Effective
CAPA-4511,2025-09-10,2025-10-01,2025-10-22,Closed,Preventive,NC-00825,Production,Screen Printing,Major,Man (Operator),Ana Silva,Pending
CAPA-4512,2026-02-20,2026-04-18,2026-03-25,Closed,Corrective,NC-00827,Production,Screen Printing,Major,Machine/Equipment,Sandra Reis,Not Effective
CAPA-4513,2026-03-03,2026-03-23,2026-03-29,Closed,Preventive,NC-00828,Production,Screen Printing,Major,Man (Operator),Patrícia Lima,Effective
CAPA-4514,2026-07-08,2026-08-28,,Overdue,Corrective,NC-00829,Production,Screen Printing,Major,Raw Material,Ana Silva,Effective
CAPA-4515,2026-07-22,2026-09-06,2026-07-31,Closed,Preventive,NC-00830,Production,Screen Printing,Major,Man (Operator),Vitor Sousa,Effective
CAPA-4516,2026-08-25,2026-10-03,2026-09-14,Closed,Preventive,NC-00831,Production,Screen Printing,Major,Method/Procedure,Ana Silva,Effective
CAPA-4517,2026-09-07,2026-10-14,2026-10-22,Closed,Preventive,NC-00832,Production,  Screen Printing  ,Major,Raw Material,Vitor Sousa,Effective
CAPA-4518,2026-11-10,2026-12-07,2026-12-19,Closed,Corrective,NC-00834,Production,Screen Printing,Major,Machine/Equipment,Carlos Mendes,Pending
CAPA-4519,2025-07-31,2025-08-23,2025-09-02,Closed,Preventive,NC-00836,Production,  Screen Printing  ,Major,Man (Operator),Elena Santos,Effective
CAPA-4520,2025-09-16,2025-11-06,2025-10-19,Closed,Corrective,NC-00837,Production,Screen Printing,Major,Man (Operator),Carlos Mendes,Not Effective
CAPA-4521,2025-10-10,2025-12-08,2025-11-18,Closed,Corrective,NC-00838,Production,Screen Printing,Major,Machine/Equipment,Patrícia Lima,Not Effective
CAPA-4522,2025-10-13,2025-12-01,2025-10-28,Closed,Corrective,NC-00839,Production,Screen Printing,Major,Machine/Equipment,Patrícia Lima,Pending
CAPA-4523,2025-10-30,2025-11-22,2025-12-08,Closed,Preventive,NC-00840,Production,Screen Printing,Major,Mold/Tooling,Ana Silva,Not Effective
CAPA-4524,2026-03-19,2026-04-13,2026-05-12,Closed,Preventive,NC-00842,Production,Screen Printing,Major,Method/Procedure,Sandra Reis,Pending
CAPA-4525,2026-06-02,2026-06-22,,Overdue,Corrective,NC-00843,Production,Screen Printing,Major,Man (Operator),Sandra Reis,Not Effective
CAPA-4526,2026-08-21,2026-09-28,2026-09-14,Closed,Preventive,NC-00845,Production,Screen Printing,Major,Machine/Equipment,Vitor Sousa,Pending
CAPA-4527,2026-08-24,2026-09-25,2026-09-10,Closed,Preventive,NC-00846,Production,Screen Printing,Major,Man (Operator),Sandra Reis,Effective
CAPA-4528,2026-12-28,2027-01-27,2027-01-18,Closed,Corrective,NC-00848,Production,Screen Printing,Major,Method/Procedure,Patrícia Lima,Not Effective
CAPA-4529,2025-07-12,2025-09-08,2025-07-27,Closed,Preventive,NC-00849,Production,Screen Printing,Major,Man (Operator),Carlos Mendes,Effective
CAPA-4530,2025-07-24,2025-09-15,2025-08-17,Closed,Corrective,NC-00850,Production,Screen Printing,Major,Method/Procedure,Patrícia Lima,Not Effective
CAPA-4531,2025-08-14,2025-09-25,2025-09-05,Closed,Corrective,NC-00852,Production,Screen Printing,Major,Raw Material,Ana Silva,Effective
CAPA-4532,2025-09-14,2025-10-25,2025-10-11,Closed,Corrective,NC-00853,Production,Screen Printing,Major,Machine/Equipment,Elena Santos,Pending
CAPA-4533,2025-10-07,2025-12-03,2025-11-04,Closed,Preventive,NC-00854,Production,Screen Printing,Major,Man (Operator),Patrícia Lima,Pending
CAPA-4534,2026-02-05,2026-04-02,,Overdue,Corrective,NC-00859,Production,Screen Printing,Major,Machine/Equipment,Sandra Reis,Effective
CAPA-4535,2026-03-21,2026-04-10,2026-05-01,Closed,Corrective,NC-00860,Production,Screen Printing,Major,Method/Procedure,Patrícia Lima,Effective
CAPA-4536,2026-03-25,2026-05-05,2026-05-11,Closed,Preventive,NC-00861,Production,Screen Printing,Major,Method/Procedure,Elena Santos,Effective
CAPA-4537,2026-05-26,2026-06-18,,Overdue,Corrective,NC-00864,Production,Screen Printing,Major,Raw Material,Elena Santos,Effective
CAPA-4538,2026-05-28,2026-07-06,,Overdue,Preventive,NC-00865,Production,Screen Printing,Major,Method/Procedure,Elena Santos,Pending
CAPA-4539,2026-06-01,2026-07-08,,Overdue,Preventive,NC-00866,Production,Screen Printing,Major,Man (Operator),Sandra Reis,Not Effective
CAPA-4540,2026-06-25,2026-08-18,,Overdue,Preventive,NC-00867,Production,SCREEN PRINTING,Major,Mold/Tooling,Ana Silva,Pending
CAPA-4541,2026-07-08,2026-08-18,,Overdue,Preventive,NC-00868,Production,Screen Printing,Major,Method/Procedure,Patrícia Lima,Not Effective
CAPA-4542,2026-07-11,2026-08-20,2026-08-18,Closed,Corrective,NC-00870,Production,Screen Printing,Major,Method/Procedure,Vitor Sousa,Pending
CAPA-4543,2026-07-17,2026-09-11,,Overdue,Corrective,NC-00871,Production,Screen Printing,Major,Machine/Equipment,Elena Santos,Not Effective
